rnum,bizId,polyBizSecd,polyBizTy,polyBizSjnm,polyItcnCn,sporCn,sporScvl,bizPrdCn,prdRpttSecd,rqutPrdCn,ageInfo,majrRqisCn,empmSttsCn,splzRlmRqisCn,accrRqisCn,prcpCn,aditRscn,prcpLmttTrgtCn,rqutProcCn,pstnPaprCn,jdgnPresCn,rqutUrla,rfcSiteUrla1,rfcSiteUrla2,mngtMson,mngtMrofCherCn,cherCtpcCn,cnsgNmor,tintCherCn,tintCherCtpcCn,etct,polyRlmCd
1,R2024092026563,003002012013,지자체,(고창군) 2024년도 하반기 대학등록금 지원사업 신청 공고,-,2024년도에 납부한 수업료 및 등록금 등 연간 최대 300만원 지원 (국가장학금 등은 공제 후 지원),-,-,002004,"2024-09-12~2024-10-18
2024-09-12(목) ~ 2024-10-18(금) 18:00까지 (*토·일·공휴일 제외)",제한없음,-,-,-,"신청자격: 학생 본인 또는 학부모로, 고창군에 1년 이상 주민등록이 되어 있는 자","학생 본인 또는 학부모로, 고창군에 1년 이상 주민등록이 되어 있는 자",-,학생 본인 또는 학부모의 세부 신청자격 요건은 공고문 확인바랍니다.,읍·면 행정복지센터 및 고창군청 1층 인재양성과 평생교육팀 방문 접수,"대학등록금 지원 신청서
등록금 납부 확인서
대상 학생 또는 신청인의 통장사본
개인정보제공 동의 및 활용승낙서
재학증명서 (공고일 이후 발급)
졸업증명서 (초·중·고 각 1부)
가족관계증명서 (부모 신청 시)
주민등록 초본 (부모 또는 학생)
학자금 중복지원방지 및 상환(반환)서약서
고졸 검정고시 합격증 또는 합격증명서 (검정고시 합격자의 경우)
* 자세한 내용은 고창군청 홈페이지에서 확인하실 수 있습니다",-,-,https://www.jb2030.or.kr/policy/p2_view.html?id=1213&tname=wel,-,고창군,-,063-560-2926,고창군,-,063-560-2926,-,023040
2,R2024091326506,003002012,지자체,"2024년 청년 비즈니스 예절학교 서북권(군산, 익산, 김제) ※서북권외 신청가능!",-,-,-,-,002004,"2024-09-12~2024-09-24
2024. 09. 12.(목) ~ 2024. 09. 24.(화) 16시까지",제한없음,-,-,-,-,-,-,전북청년 누구나! (*권역별 50명 선착순),-,-,-,-,https://www.jb2030.or.kr/app/a1_view.html?id=111&o,-,전북청년허브센터,-,063-220-8958,전북청년허브센터,-,063-220-8958,-,023040
3,R2024091226484,003002015,지자체,2024 친구가 예술가 : 오늘은 칼퇴합니다 2기 참여자 모집(장소:창원),"2024년 꿈다락 문화예술학교의 프로그램인 “친구가 예술가: 오늘은 칼퇴합니다” 2기 참여자를 모집 중입니다. 
이 프로그램은 20-30대 청년들을 대상으로 하며, 예술가와 친구가 되어 일상을 주제로 희곡을 완성하고 연극을 통해 서로의 연대감을 쌓아가는 활동입니다.","교육기간 : '24. 9. 19(목) ~ 11. 28(목) / 매주 목요일 오후 6시~8시 
교육장소 : 경남사회적경제혁신타운 (창원 수목원 근처) 
참 여 비 : 전액지원",-,-,002004,"2024-09-02~2024-09-30
20240902~20240930",만 19세 ~ 39세,-,-,-,-,20-30대 청년 누구나,"흥미로운 이 작품의 지은이 That`s YOU 예술가 친구와 함께, 연극을 통해 '오늘의 나'를 만나는 설레는 퇴근길!운동 공부 ""새로운"" 자기계발을 갈망하는 청년!매일의 퇴근하교가 설레고 의미있는 시간으로 보내고 싶은 청년!나만의 취향을 찾고 싶고, 나의 끼를 발견하고 싶은 청년!20-30대 청년들을 대상으로 예술가와 친구가 되어 일상을 주제로한 연극놀이를 통해서로의 연대감을 쌓아가며 일상 속 예술을 향유하는 프로그램""오늘은 이만, 칼퇴합니다! 친구 만나러 가요.""설레는 퇴근길을 함께 할 청년들의 많은 참여 부탁드립니다!",-,온라인 신청(홈페이지 바로가기),-,-,-,https://youth.gyeongnam.go.kr/youth/youthPolicySearchView.es?mid=a10101000000&policy_no=1452,-,주식회사 라온아트앤컬처,-,1522-5035,주관기관과 동일,-,-,-,023040
4,R2024091226483,003002015,지자체,[추가모집] 스트리트 갱남 파이터 in 청년교류전 경남청년 댄스동아리 경연대회,-,"참여 방법
- 참가 인원 : 최소 7인 이상으로 팀 구성
- 참가 작품 : 팀당 공연 6~8분 이내 올장르퍼포먼스 (스트릿댄스&커버댄스) 
*선곡은 자유곡, 참여자 중복출연 금지
- 모집분야 : 청소년팀, 대학팀, 청년팀",-,-,002004,"2024-09-11~2024-09-14
20240911~20240914",만 14세 ~ 39세,-,-,-,"- 모집분야 : 청소년팀, 대학팀, 청년팀",경상남도에 거주하고 있는 14~39세 청년 또는 청소년 누구나,-,-,"일정
- 예선 : 2024.09.13.[금] 18:00 까지 제출 *동영상 심사(퍼포먼스팀 10팀 선발)
- 예선결과 : 2024.09.14 [토] *개별 문자연락 예정
- 본선 : 2024.09.20.[금] 현장경연 시간&장소 : 19:00~21:00 경남도청 잔디광장",-,-,https://naver.me/FUhz1hv0,https://m.blog.naver.com/gn_youth/223573499254,-,경남도청,-,070-4139-1678,주관기관과 동일,-,청년정책과(055-211-3583),-,023040
5,R2024091126463,003002015,지자체,경남 청년콘서트(행사일 10.4),-,"행사명 : 경남 청년콘서트 
일시 : 2024. 10. 4.(금) 19:00~21:00 
  - 예매기간 : 2024. 9. 11.(수) 14:00 ~ 매진 시까지 
장소 : 김해문화의전당 마루홀 
주요내용 : 청년예술인 경연 및 축하공연
  - 청년예술인 : 김유빈, 리턴, 무채색, 이지수, 블러드라인
  - 축하공연 : 길필, 아웃사이더 등",-,-,002004,"2024-09-11~2024-10-04
행사명 : 경남 청년콘서트 
일시 : 2024. 10. 4.(금) 19:00~21:00 
  - 예매기간 : 2024. 9. 11.(수) 14:00 ~ 매진 시까지",제한없음,-,-,-,-,누구나,-,-,티켓링크(홈페이지 바로가기) 신청,-,-,www.ticketlink.co.kr/product/52019,-,-,청년정책과,-,055-211--3554,주관기관과 동일,-,-,-,023040
6,R2024091126427,003002015017,지자체,청년 주거자금 대출이자 지원(경남 산청군),"청년층 출산가정, 신혼부부, 전입세대의 주거비 부담 완화 및 안정된 정주 여건 조성으로 인구 감소 문제 해결과 군민 삶의 질 향상","주거자금(주택 신축 구입, 임차) 대출이자지원(대출잔액의 1.5%이내)
    - 최대금액: 출산가정 1,500천원, 신혼부부 1,000천원, 전입세대 500천원",null,null,002001,"
신청기간 :  상,하반기 공고시 신청
전화문의 :  전략사업담당관 (0559708973)
신청방법  : 방문 신청
- 주민센터 : 주민등록지 읍면사무소 방문 신청
지원형태 : 현금",만 19세 ~ 45세,-,-,-,-,"관내 3개월 이상 주소를 둔 만19세이상 만45세이하 청년(신혼부부, 출산가정, 전입세대)",null,"-  기초생활보장수급자(생계․의료․주거급여 수급자)
  -  공공임대(국민임대․영구임대․LH매입임대․LH전세임대)주택 거주자
  -  주택관련 지원사업 수혜자","○ 방문 신청 
- 주민센터 : 주민등록지 읍면사무소 방문 신청","1. 지원 신청서
2. 서약서 및 동의서
3. 주민등록등본
4. 임대차계약서 사본 또는 전세권 설정등기 등 확인서류(확정일자 기재)
‣ 임대차계약서는 주택 소유자와 신청인 간의 계약만 인정
‣ 임대차계약서를 제출할 수 없는 경우 전세권 설정등기 등 확인서류 제출
5. 부동산등기부등본
6. 주택자금대출을 확인할 수 있는 서류
‣ 금융거래확인서(신용대출 등은 제외)
‣ 금융기관 직인이 날인된 서류로 대출기간, 대출용도, 대출잔액이 확인되도록 발급
‣ 공고일 이전 주택자금 대출만 인정
7. 지방세 세목별(재산세)과세증명서(무주택확인용)
‣ 세대원 모두 전국 기준 발급
※ 재산세(주택분) 납부자
‣ 해당 지자체 주택 과세 증명서 1부(해당 지자체 기준)
‣ 전국 주택 미과세 증명서 1부(해당 지자체 제외)
※ 재산세(주택분) 납부내역이 없는 자
‣ 전국 주택 미과세 증명서 1부
8. 최근 1년 건강보험료 납부확인서
‣ 소득이 있는 세대원의 건강보험료 납부확인서 및 건강보험 자격확인서
‣ 세대원이 소득이 없는 경우 피부양자 자격득실 확인서
‣ 젼년도 1~12월까지 1년간 평균액
※ 장기요양보험료 미포함
※ 가구원수: 가족관계등록부 상 가구원이 아닌 건강보험의 가구원 수 기준 (건강보험 자격확인서로 확인)
9. 신청인의 통장 및 신분증 사본
10. 추가서류
- 신혼부부: 혼인관계증명서
- 대리신청: 가족관계증명서, 대리인 신분증
- 전세자금대출: 가족관계증명서(상세)
‣ 신청자, 배우자 및 그 부모 기준으로 각 1부씩",null,문의처 : 전략사업담당관 (☎0559708973),null,null,경상남도 산청군,null,전략사업담당관 (0559708973),경상남도 산청군,null,null,null,023040
7,R2024091026448,003002015,지자체,2024 경남청년페스타 경남청년 Link&Play 참가자 모집,-,"Link&Play 란? 
ㅇ 인기있는 '방탈출 게임'과 '미션플레이'를 모티브하여 청년들이 오프라인에서 관계를 맺고(Link) 함께 활동(Play)하는 프로그램으로 경남 청년들의 관계망을 넓히고 일상 활력 충전을 위한 프로젝트 
ㅇ 행사명 : 경남청년을 연결하는 '경남청년 Link&Play' 
ㅇ 대상 : 경남에 거주하고 있는 청년 누구나 
ㅇ 장소 : 경남도청 잔디광장 운영 : 1차_2024년 9월 20일(금) 15:00~18:00 대학 교류전 2차_2024년 9월 21일(토) 15:00~18:00 경남청년 모여라",-,-,002004,"2024-09-04~2024-09-18
20240904~20240918",만 19세 ~ 39세,-,-,-,-,경남에 거주하고 있는 청년 누구나,-,-,"[참여 방법]
1) 경상남도청년정보플랫폼에 가입하기
2) 참가하고 싶은 일정에 Link&Play 네이버폼' 등록
3) 신청일자에 경남청년페스타 현장 방문하기
4) 함께 즐기고 미션수행하고 SNS 설문조사 참여
5) 전체 미션 완료 후 등록하면 선물이 와르르",-,-,https://naver.me/GPddcz3I,-,-,경상남도,-,070-4139-1678,주관기관과 동일,-,-,-,023040
8,R2024091026447,003002005002,지자체,가족돌봄청년(영케어러)의 돌봄부담 경감을 위한 사회적 돌봄사업,청소년 및 청년(영케어러)가정을 대상으로 돌봄지원사 파견과 내일희망프로그램 지원,"□ 지원내용
① 돌봄서비스 지원
- 돌봄지원사 파견(월 16시간)으로 청(소)년들의 돌봄부담 완화
※ 추가지원이 필요한 경우 사례회의를 통해 월 16시간 이내 추가지원 가능
- 일상생활지원, 가사지원, 식사지원, 만성질환돌봄, 장애가족돌봄 등 
② 내일희망프로그램
- 청(소)년들의 자립과 성장에 필요한 다양한 배움과 쉼 기회에 참여할 수 있도록 자립교육비(학원비 등) 및 쉼여행비 지원(연 1회, 50만원)
- 사용계획서 제출 후 선정된 청(소)년 대상으로 본인 선결제 후 영수증빙 통해 해당 금액 지원
※ 교육비의 경우 기관에서 선결제 가능
- 그 외 상담서비스를 통해 자립.자활에 필요한 다양한 복지서비스 연계
※ 돌봄서비스 대상자에 한하여 내일희망프로그램 지원",null,2024년 08월 ~ 2025년 07월,002001,"
접수기간: 상시모집",만 13세 ~ 34세,-,-,-,-,"□ 지원대상: 광주 서구에 실거주 중인 돌봄대상자(중증질환, 장애인 등)를 돌보고 있는 만13 ~ 34세의 청소년 및 청년
※ 소득기준은 무관하나, 다수의 사례 신청 시 중위소득 120% 미만 대상가정을 우선 선정",null,null,"□ 신청방법
- 온라인신청 : https://forms.gle/n2AZbmEpEiczaVCs6 
※ 타기관 의뢰 신청 시 공고문 [붙임2] 첨부하여 공문과 함께 접수
문의 ☞ 070-4418-7888(가족돌봄청년지원사업 담당자 김수아)",null,"□ 지원 대상자 선정절차
모집공고 및 서류접수 → 서류심사 및 가정방문상담 → 대상자 선정 및 결과안내 → 돌봄서비스 지원 → 필요 시 돌봄서비스 추가지원/내일희망 프로그램 지원 → 점검 및 종결
※ 사업 운영상황에 따라 일부 변동 가능",https://forms.gle/n2AZbmEpEiczaVCs6,null,null,광주광역시 서구청,-,-,광주 서구지역사회보장협의체(070-4418-7888),-,-,"- 기관의 지원항목에 해당되나 사회보장서비스 혹은 타기관 지원과 중복되는 항목의 경우 지원할 수 없음
※ 단, 대상자의 돌봄 상황 및 시급성에 따라 중복지원 가능
- 허위사실을 기재하는 경우 돌봄서비스 종결될 수 있음",023040
9,R2024090526383,003001008,중앙부처,청년도약계좌 기여금 지원 확대(9월)(신청기간 9.3~9.13),"월 기여금 지원확대 월 최대 2.4만원 -> 월 최대 3.3만원
5년간 최대 지원 금액 확대 144만원 -> 198만원
만기 시 최대 60만원 증가 -> 연 9.54% 일반적금상품에 가입한 효과","<청년도약계좌 기여금 지원 확대>
ㅇ 월 기여금 지원확대 월 최대 2.4만원 -> 월 최대 3.3만원
ㅇ 5년간 최대 지원 금액 확대 144만원 -> 198만원
ㅇ 만기 시 최대 60만원 증가 -> 연 9.54% 일반적금상품에 가입한 효과


□ 가입자의 소득구간 및 월 납입액에 따라 최대 6%까지 정부기여금을 지원
□ 본인납입금액과 정부기여금에 대한 이자와 이에 대한 비과세 혜택(만기·특별중도 해지시)
 ※ 전년도 소득 확정 전, 가입자의 경우 모두 비과세 인정(24년 1월 이전에 가입하였더라도 해당)
□ 저소득층 청년 대상 일정수준의 우대금리 제공 (명칭 : 소득+우대금리)
※ 육아휴직급여(육아휴직수당 포함) 및 군장병급여만 있는 경우, 정부기여금 매칭비율 6% 적용",null,null,002003,"--03~--13
9월 가입신청 기간 :  9.2(월) ~ 9.13(금)  (영업일만 운영)
* 취급은행 모바일 앱에서 간편 가입신청 가능
  (농협, 신한, 우리, 하나, 기업, 국민, 아이엠, 부산, 광주, 전북, 경남)

□ 월 단위 신청으로 세부기간은 청년도약계좌 사이트(https://ylaccount.kinfa.or.kr) 참고
□ 병역이행기간(최대 6년)은 연령 계산시 빼고 계산",만 19세 ~ 34세,제한없음,제한없음,제한없음,제한없음,"[개인소득]
□ 직전 과세기간의 총급여액이 7,500만원 이하이며, 종합소득과세표준에 합산되는 종합소득금액이 6,300만원 이하인 경우 (단, 육아휴직급여(육아휴직수당 포함) 및 군장병급여 외에 비과세 소득만 있는 경우는 제외)
 ※ 직전 과세기간의 소득이 확정되지 않은 기간에 소득을 확인한 경우 전전년도 소득으로 인정
[가구소득]
□ 가구원 수에 따른 기준 중위소득 250% 이하에 해당하는 자
 ※ 직전 과세기간의 소득이 확정되지 않은 기간에 소득을 확인한 경우 전전년도 소득으로 인정
 ※가구원은 청년 본인과 본인의 주민등록표 등본상 배우자, 부모, 자녀, 형제·자매(미성년자)를 기준으로 판단
[금융소득종합과세]
가입일이 속한 과세기간의 직전 3개년도 중 1회 이상 금융소득종합과세 대상자에 해당하지 않는 자","□ 계좌개설일(가입일) 기준 만 19세 ~ 34세 이하*
  *병역이행기간(최대 6년)은 연령 계산시 빼고 계산",직전 3개년도 중 1회 이상 금융소득종합과세 대상자는 가입이 제한,"[매월]
가입신청 - 취급은행 앱
[신청 후 약 2주]
가입심사 – 서민금융진흥원
[익월 초]
계좌개설 - 취급은행 앱",null,"□ 개인 및 가구소득 확인 세부 절차 (약 2주 소요)
① 나이 및 개인소득 확인 → ② 가구원 확정 및 정보제공 동의 → ③ 가구소득 확인 → ④ 확인결과 통보
  ※ 행정정보공동이용서비스를 통해 전면 비대면 확인 시행(행안부, 국세청, 병무청)
□ 개인소득은 가입일로부터 1년 주기로 유지심사를 통해 현행화하여 기여금 지급여부 및 규모 조정",취급은행,https://blog.naver.com/we_are_youth/223569584719,https://ylaccount.kinfa.or.kr,서민금융진흥원,null,null,"서민금융진흥원, 취급은행",null,null,"□ 취급은행을 통틀어 1명당 1개의 계좌만 가입 가능
 ※ 가입요건을 충족하는 가구(청년부부 등)일 경우 부부가 각각 가입 가능
□ 복지, 고용지원 및 지자체 상품은 동시가입이 가능하나, 사업목적이 유사한 청년희망적금은 만기(또는 해지) 후 가입이 가능
 ※ 청년희망적금 만기해지자는 청년도약계좌 일시납입 가능
□ 청년내일저축계좌, 청년내일채움공제 등과 동시가입이 가능
□가입일 현재 직전 과세기간의 금융소득종합과세가 확정되지 않아 전전 과세기간까지만 금융소득종합과세 대상 여부가 확인된 경우, 직전 과세기간의 금융소득종합과세 대상자로 확인되는 시점부터 납입중지
「공공재정 부정청구 금지 및 부정이익 환수 등에 관한 법률」에 따른 부정이익으로 확인되는 경우 환수 등의 제재 가능

□ 청년도약계좌 상품에 대한 보다 자세한 안내는 서민금융진흥원콜센터(1397)로 문의하거나 홈페이지 자주하는 질문 참고(사업관련참고사이트2)",023040
10,R2024090426363,003002012001,지자체,2024년 상반기 대학생 학자금 이자지원 사업,전주지역 대학생의 학업전념 환경조성 및 교육비 부담 경감,"□ 2016년부터 한국장학재단에서 받은 학자금의 대출이자(생활비 포함)
※ 학자금 대출 : 취업후상환학자금, 일반상환학자금
  ❍ 상반기 : 2023. 7월 ~ 12월 동안 발생이자('24. 6월 지급)
  ❍ 하반기 : 2024. 1월 ~ 6월 동안 발생이자('24. 11월 지급)

□ 지원방법 : 한국장학재단 대출금 이자 상환(학생 개인계좌에 입금 아님)",-,-,002004,"2024-08-26~2024-09-25
2024-08-26(월) 10:00 ~ 2024-09-25(수) 18:00",제한없음,-,-,-,대학(원) 재학생 또는 휴학생,"□ 2016년부터 한국장학재단의 학자금 대출을 받은 자
□ 신청시작일(2024. 8. 26.) 기준 본인의 주민등록상 주소지가 전주시이고 전국 소재 대학(원)에 재학생 또는 휴학생",-,null,"온라인 신청(전주시 홈페이지)
분야별 정보 > 교육/역사/체육 > 교육지원 > 대학생 학자금 대출 이자지원","① 온라인 신청서
② 주민등록초본
③ 재학·휴학증명서",학자금 이자지원 심의위원회 결정,https://www.jeonju.go.kr,-,-,전주시,-,063-281-2502,전주시,-,063-281-2502,-,023040
